 71 1457.862647 2.872E-29 2.888E-09.04050.043  438.70100.720.000000       X      1       X      0                O 17O 16     q552220493310 9 4 0    29.0   33.0
 71 1457.885947 3.021E-29 2.868E-09.04050.043  440.56180.720.000000       X      1       X      0                O 17O 17     q552220493310 9 4 0    31.0   35.0
 71 1457.899268 3.251E-29 2.870E-09.04050.043  438.44130.720.000000       X      1       X      0                O 17O 18     q552220493310 9 4 0    33.0   37.0
 71 1459.746695 1.190E-29 1.128E-09.04050.043  438.70100.720.000000       X      1       X      0                O 17P 16     d50222049 110 9 4 0    31.0   33.0
 71 1459.746695 2.365E-31 2.231E-11.04050.043  438.70100.720.000000       X      1       X      0                O 17P 16     q552220493310 9 4 0    31.0   33.0
 71 1459.750223 5.332E-32 5.947E-09.04400.045 1814.19380.720.000000       X      2       X      1                O 13O 12     q552220493310 9 4 0    21.0   25.0
 71 1459.775584 5.715E-32 5.874E-09.04400.045 1816.09790.720.000000       X      2       X      1                O 13O 13     q552220493310 9 4 0    23.0   27.0
 71 1459.789941 6.283E-32 5.882E-09.04400.045 1814.01040.720.000000       X      2       X      1                O 13O 14     q552220493310 9 4 0    25.0   29.0
 71 1468.160866 2.020E-29 1.318E-09.04190.044  345.84950.720.000000       X      1       X      0                O 15P 15     d50222049 110 9 4 0    29.0   31.0
 71 1468.160866 3.934E-31 2.555E-11.04190.044  345.84950.720.000000       X      1       X      0                O 15P 15     q552220493310 9 4 0    29.0   31.0
 71 1469.644056 1.107E-32 5.588E-13.05130.051  128.49200.720.000000       X      1       X      0                M  9O  8     q552220493310 9 4 0    13.0   17.0
 71 1469.729274 1.193E-33 9.640E-11.04620.046 1745.08060.720.000000       X      2       X      1                O 11P 11     q552220493310 9 4 0    21.0   23.0
 71 1470.040947 1.640E-33 1.058E-13.04210.043  343.96940.720.000000       X      1       X      0                O 15Q 14     q552220493310 9 4 0    29.0   29.0
 71 1470.224332 4.066E-29 3.044E-09.04190.044  343.96940.720.000000       X      1       X      0                O 15O 14     q552220493310 9 4 0    25.0   29.0
 71 1470.248413 4.311E-29 3.016E-09.04190.044  345.84950.720.000000       X      1       X      0                O 15O 15     q552220493310 9 4 0    27.0   31.0
 71 1470.262253 4.682E-29 3.019E-09.04190.044  343.74810.720.000000       X      1       X      0                O 15O 16     q552220493310 9 4 0    29.0   33.0
 71 1471.753588 6.357E-32 6.303E-09.04620.046 1743.15500.720.000000       X      2       X      1                O 11O 10     q552220493310 9 4 0    17.0   21.0
 71 1471.780978 6.917E-32 6.194E-09.04620.046 1745.08060.720.000000       X      2       X      1                O 11O 11     q552220493310 9 4 0    19.0   23.0
 71 1471.796483 7.739E-32 6.208E-09.04620.046 1743.01340.720.000000       X      2       X      1                O 11O 12     q552220493310 9 4 0    21.0   25.0
 71 1472.128493 1.650E-29 1.152E-09.04190.044  343.96940.720.000000       X      1       X      0                O 15P 14     d50222049 110 9 4 0    27.0   29.0
 71 1472.128493 4.408E-31 3.064E-11.04190.044  343.96940.720.000000       X      1       X      0                O 15P 14     q552220493310 9 4 0    27.0   29.0
 71 1473.706534 1.389E-33 1.236E-10.04620.046 1743.15500.720.000000       X      2       X      1                O 11P 10     q552220493310 9 4 0    19.0   21.0
 71 1480.430658 2.670E-29 1.371E-09.04590.045  262.58270.720.000000       X      1       X      0                O 13P 13     d50422049 11010 4 0    25.0   27.0
 71 1480.430658 6.973E-31 3.564E-11.04590.045  262.58270.720.000000       X      1       X      0                O 13P 13     q55422049331010 4 0    25.0   27.0
 71 1481.642034 1.991E-33 1.511E-10.04860.048 1685.40730.720.000000       X      2       X      1                O  9P  9     q552220493310 9 4 0    17.0   19.0
 71 1482.330913 3.908E-33 1.984E-13.04400.045  260.68240.720.000000       X      1       X      0                O 13Q 12     q552220493310 9 4 0    25.0   25.0
 71 1482.472567 5.319E-29 3.215E-09.04590.045  260.68240.720.000000       X      1       X      0                O 13O 12     q55422049331010 4 0    21.0   25.0
 71 1482.497868 5.700E-29 3.175E-09.04590.045  262.58270.720.000000       X      1       X      0                O 13O 13     q55422049331010 4 0    23.0   27.0
 71 1482.512473 6.267E-29 3.179E-09.04590.045  260.50090.720.000000       X      1       X      0                O 13O 14     q55422049331010 4 0    25.0   29.0
 71 1483.638868 6.824E-32 6.727E-09.04860.048 1683.45810.720.000000       X      2       X      1                O  9O  8     q552220493310 9 4 0    13.0   17.0
 71 1483.670168 7.595E-32 6.551E-09.04860.048 1685.40730.720.000000       X      2       X      1                O  9O  9     q552220493310 9 4 0    15.0   19.0
 71 1483.687658 8.729E-32 6.578E-09.04860.048 1683.36170.720.000000       X      2       X      1                O  9O 10     q552220493310 9 4 0    17.0   21.0
 71 1484.398123 2.110E-29 1.173E-09.04590.045  260.68240.720.000000       X      1       X      0                O 13P 12     d50422049 11010 4 0    23.0   25.0
 71 1484.398123 7.934E-31 4.390E-11.04590.045  260.68240.720.000000       X      1       X      0                O 13P 12     q55422049331010 4 0    23.0   25.0
 71 1485.619297 2.392E-33 2.049E-10.04860.048 1683.45810.720.000000       X      2       X      1                O  9P  8     q552220493310 9 4 0    15.0   17.0
 71 1492.586830 3.270E-29 1.433E-09.04750.047  190.77480.720.000000       X      1       X      0                O 11P 11     d50422049 11010 4 0    21.0   23.0
 71 1492.586830 1.196E-30 5.216E-11.04750.047  190.77480.720.000000       X      1       X      0                O 11P 11     q55422049331010 4 0    21.0   23.0
 71 1492.976766 3.729E-32 2.212E-12.05550.055   79.60700.720.000000       X      1       X      0                M  7O  6     q55422049331010 4 0     9.0   13.0
 71 1493.440759 3.295E-33 2.627E-10.05130.051 1637.08780.720.000000       X      2       X      1                O  7P  7     q552220493310 9 4 0    13.0   15.0
 71 1494.508576 1.420E-32 6.181E-13.04750.047  188.85310.720.000000       X      1       X      0                O 11Q 10     d50422049 11010 4 0    21.0   21.0
 71 1494.508576 9.491E-33 4.112E-13.04620.046  188.85310.720.000000       X      1       X      0                O 11Q 10     q552220493310 9 4 0    21.0   21.0
 71 1494.605071 6.366E-29 3.408E-09.04750.047  188.85310.720.000000       X      1       X      0                O 11O 10     q55422049331010 4 0    17.0   21.0
 71 1494.632454 6.927E-29 3.349E-09.04750.047  190.77480.720.000000       X      1       X      0                O 11O 11     q55422049331010 4 0    19.0   23.0
 71 1494.648262 7.750E-29 3.356E-09.04750.047  188.71340.720.000000       X      1       X      0                O 11O 12     q55422049331010 4 0    21.0   25.0
 71 1495.400773 6.359E-32 7.272E-09.05130.051 1635.11090.720.000000       X      2       X      1                O  7O  6     q552220493310 9 4 0     9.0   13.0
 71 1495.441294 7.363E-32 6.956E-09.05130.051 1637.08780.720.000000       X      2       X      1                O  7O  7     q552220493310 9 4 0    11.0   15.0
 71 1495.462652 8.865E-32 7.018E-09.05130.051 1635.06590.720.000000       X      2       X      1                O  7O  8     q552220493310 9 4 0    13.0   17.0
 71 1496.554200 2.470E-29 1.192E-09.04750.047  188.85310.720.000000       X      1       X      0                O 11P 10     d50422049 11010 4 0    19.0   21.0
 71 1496.554200 1.390E-30 6.674E-11.04750.047  188.85310.720.000000       X      1       X      0                O 11P 10     q55422049331010 4 0    19.0   21.0
 71 1497.418179 4.168E-33 3.910E-10.05130.051 1635.11090.720.000000       X      2       X      1                O  7P  6     q552220493310 9 4 0    11.0   13.0
 71 1504.628422 3.690E-29 1.514E-09.04970.049  130.43750.720.000000       X      1       X      0                O  9P  9     d50422049 11010 4 0    17.0   19.0
 71 1504.628422 2.003E-30 8.177E-11.04970.049  130.43750.720.000000       X      1       X      0                O  9P  9     q55422049331010 4 0    17.0   19.0
 71 1505.129021 5.578E-33 5.452E-10.05420.054 1600.13010.720.000000       X      2       X      1                O  5P  5     q552220493310 9 4 0     9.0   11.0
 71 1506.573898 2.360E-32 9.616E-13.04970.049  128.49200.720.000000       X      1       X      0                O  9Q  8     d50422049 11010 4 0    17.0   17.0
 71 1506.573898 2.447E-32 9.925E-13.04970.049  128.49200.720.000000       X      1       X      0                O  9Q  8     q55422049331010 4 0    17.0   17.0
 71 1506.618905 6.856E-29 3.636E-09.04970.049  128.49200.720.000000       X      1       X      0                O  9O  8     q55422049331010 4 0    13.0   17.0
 71 1506.650315 7.632E-29 3.542E-09.04970.049  130.43750.720.000000       X      1       X      0                O  9O  9     q55422049331010 4 0    15.0   19.0
 71 1506.668186 8.770E-29 3.556E-09.04970.049  128.39770.720.000000       X      1       X      0                O  9O 10     q55422049331010 4 0    17.0   21.0
 71 1507.019862 4.621E-32 8.071E-09.05420.054 1598.11570.720.000000       X      2       X      1                O  5O  4     q552220493310 9 4 0     5.0    9.0
 71 1507.092495 5.874E-32 7.400E-09.05420.054 1600.13010.720.000000       X      2       X      1                O  5O  5     q552220493310 9 4 0     7.0   11.0
 71 1507.123032 7.827E-32 7.595E-09.05420.054 1598.13610.720.000000       X      2       X      1                O  5O  6     q552220493310 9 4 0     9.0   13.0
 71 1508.595791 2.590E-29 1.199E-09.04970.049  128.49200.720.000000       X      1       X      0                O  9P  8     d50422049 11010 4 0    15.0   17.0
 71 1508.595791 2.401E-30 1.107E-10.04970.049  128.49200.720.000000       X      1       X      0                O  9P  8     q55422049331010 4 0    15.0   17.0
 71 1509.106918 7.776E-33 9.727E-10.05420.054 1598.11570.720.000000       X      2       X      1                O  5P  4     q552220493310 9 4 0     7.0    9.0
 71 1516.236913 1.905E-31 1.749E-11.05930.060   42.20010.970.000000       X      1       X      0                M  5O  4     q55422049331010 4 0     5.0    9.0
 71 1516.555582 3.780E-29 1.625E-09.05230.052   81.58050.720.000000       X      1       X      0                O  7P  7     d50422049 11010 4 0    13.0   15.0
 71 1516.555582 3.325E-30 1.422E-10.05230.052   81.58050.720.000000       X      1       X      0                O  7P  7     q55422049331010 4 0    13.0   15.0
 71 1516.726740 1.051E-32 8.209E-09.05740.058 1572.45450.720.000000       X      2       X      1                O  3O  2     q552220493310 9 4 0     1.0    5.0
 71 1516.728141 1.036E-32 1.635E-09.05740.058 1574.54010.720.000000       X      2       X      1                O  3P  3     q552220493310 9 4 0     5.0    7.0
 71 1518.508675 6.407E-29 3.931E-09.05230.052   79.60700.720.000000       X      1       X      0                O  7O  6     q55422049331010 4 0     9.0   13.0
 71 1518.529087 3.950E-32 1.686E-12.05230.052   79.60700.720.000000       X      1       X      0                O  7Q  6     d50422049 11010 4 0    13.0   13.0
 71 1518.529087 7.112E-32 3.021E-12.05230.052   79.60700.720.000000       X      1       X      0                O  7Q  6     q55422049331010 4 0    13.0   13.0
 71 1518.549593 7.419E-29 3.761E-09.05230.052   81.58050.720.000000       X      1       X      0                O  7O  7     q55422049331010 4 0    11.0   15.0
 71 1518.571469 8.932E-29 3.794E-09.05230.052   79.56460.720.000000       X      1       X      0                O  7O  8     q55422049331010 4 0    13.0   17.0
 71 1518.621911 2.727E-32 7.188E-09.05740.058 1574.54010.720.000000       X      2       X      1                O  3O  3     q552220493310 9 4 0     3.0    7.0
 71 1518.684524 5.428E-32 8.503E-09.05740.058 1572.58380.720.000000       X      2       X      1                O  3O  4     q552220493310 9 4 0     5.0    9.0
 71 1518.813773 2.061E-33 3.227E-10.05740.058 1572.45450.720.000000       X      2       X      1                O  3Q  2     q552220493310 9 4 0     5.0    5.0
 71 1520.523099 2.360E-29 1.194E-09.05230.052   79.60700.720.000000       X      1       X      0                O  7P  6     d50422049 11010 4 0    11.0   13.0
 71 1520.523099 4.193E-30 2.111E-10.05230.052   79.60700.720.000000       X      1       X      0                O  7P  6     q55422049331010 4 0    11.0   13.0
 71 1520.707543 1.869E-32 4.889E-09.05740.058 1572.45450.720.000000       X      2       X      1                O  3P  2     q552220493310 9 4 0     3.0    5.0
 71 1520.962359 1.959E-33 4.552E-09.03410.032 2627.42580.720.000000       X      2       X      1                Q 27Q 28     q552220493310 9 4 0    57.0   57.0
 71 1520.964130 1.817E-33 4.550E-09.03410.032 2627.86900.720.000000       X      2       X      1                Q 27Q 26     q552220493310 9 4 0    53.0   53.0
 71 1520.968177 1.862E-33 4.533E-09.03410.032 2629.64320.720.000000       X      2       X      1                Q 27Q 27     q552220493310 9 4 0    55.0   55.0
 71 1522.631221 3.785E-33 4.572E-09.03470.035 2477.44730.720.000000       X      2       X      1                Q 25Q 26     q552220493310 9 4 0    53.0   53.0
 71 1522.632960 3.490E-33 4.569E-09.03470.035 2477.85500.720.000000       X      2       X      1                Q 25Q 24     q552220493310 9 4 0    49.0   49.0
 71 1522.637037 3.586E-33 4.549E-09.03470.035 2479.64680.720.000000       X      2       X      1                Q 25Q 25     q552220493310 9 4 0    51.0   51.0
 71 1524.174164 6.880E-33 4.588E-09.03550.037 2338.69260.720.000000       X      2       X      1                Q 23Q 24     q552220493310 9 4 0    49.0   49.0
 71 1524.175879 6.302E-33 4.585E-09.03550.037 2339.06440.720.000000       X      2       X      1                Q 23Q 22     q552220493310 9 4 0    45.0   45.0
 71 1524.179981 6.492E-33 4.562E-09.03550.037 2340.87400.720.000000       X      2       X      1                Q 23Q 23     q552220493310 9 4 0    47.0   47.0
 71 1525.591176 1.176E-32 4.604E-09.03640.039 2211.18460.720.000000       X      2       X      1                Q 21Q 22     q552220493310 9 4 0    45.0   45.0
 71 1525.592879 1.069E-32 4.599E-09.03640.039 2211.52010.720.000000       X      2       X      1                Q 21Q 20     q552220493310 9 4 0    41.0   41.0
 71 1525.596998 1.104E-32 4.572E-09.03640.039 2213.34780.720.000000       X      2       X      1                Q 21Q 21     q552220493310 9 4 0    43.0   43.0
 71 1526.882249 1.887E-32 4.616E-09.03750.040 2094.94410.720.000000       X      2       X      1                Q 19Q 20     q552220493310 9 4 0    41.0   41.0
 71 1526.883954 1.698E-32 4.610E-09.03750.040 2095.24290.720.000000       X      2       X      1                Q 19Q 18     q552220493310 9 4 0    37.0   37.0
 71 1526.888080 1.761E-32 4.577E-09.03750.040 2097.08890.720.000000       X      2       X      1                Q 19Q 19     q552220493310 9 4 0    39.0   39.0
 71 1528.047373 2.838E-32 4.625E-09.03880.041 1989.99040.720.000000       X      2       X      1                Q 17Q 18     q552220493310 9 4 0    37.0   37.0
 71 1528.049100 2.523E-32 4.617E-09.03880.041 1990.25170.720.000000       X      2       X      1                Q 17Q 16     q552220493310 9 4 0    33.0   33.0
 71 1528.053222 2.628E-32 4.576E-09.03880.041 1992.11650.720.000000       X      2       X      1                Q 17Q 17     q552220493310 9 4 0    35.0   35.0
 71 1528.372048 3.440E-29 1.809E-09.05550.055   44.21170.720.000000       X      1       X      0                O  5P  5     d50422049 11010 4 0     9.0   11.0
 71 1528.372048 5.645E-30 2.954E-10.05550.055   44.21170.720.000000       X      1       X      0                O  5P  5     q55422049331010 4 0     9.0   11.0
 71 1528.719749 1.248E-33 9.162E-11.04400.045 1745.08060.720.000000       X      2       X      1                Q 11R 11     q552220493310 9 4 0    25.0   23.0
 71 1528.863416 1.412E-33 1.234E-10.04400.045 1745.08060.720.000000       X      2       X      1                Q 11P 11     q552220493310 9 4 0    21.0   23.0
 71 1529.086539 3.990E-32 4.632E-09.04040.042 1896.34060.720.000000       X      2       X      1                Q 15Q 16     q552220493310 9 4 0    33.0   33.0
 71 1529.088315 3.493E-32 4.619E-09.04040.042 1896.56370.720.000000       X      2       X      1                Q 15Q 14     q552220493310 9 4 0    29.0   29.0
 71 1529.092414 3.659E-32 4.568E-09.04040.042 1898.44770.720.000000       X      2       X      1                Q 15Q 15     q552220493310 9 4 0    31.0   31.0
 71 1529.402558 1.997E-33 1.307E-10.04620.046 1685.40730.720.000000       X      2       X      1                Q  9R  9     q552220493310 9 4 0    21.0   19.0
